Draw Date,Winning Numbers,,,,,Powerball,Power Play
12/20/2017,20,61,64,1,69,20,2
12/16/2017,35,63,37,9,50,11,2
12/13/2017,2,28,51,58,24,7,3
12/09/2017,36,60,55,37,25,6,5
12/06/2017,50,19,55,62,20,9,2
12/02/2017,32,30,36,28,58,6,3
11/29/2017,59,28,26,24,63,16,3
11/25/2017,53,8,54,27,13,4,2
11/22/2017,61,51,37,46,35,13,2
11/18/2017,17,31,28,32,39,26,3
11/15/2017,48,32,44,50,23,25,2
11/11/2017,56,6,4,30,16,18,2
11/08/2017,12,21,14,34,20,22,2
11/04/2017,51,48,12,26,14,13,3
11/01/2017,26,3,19,6,44,1,2
10/28/2017,35,27,57,66,38,10,2
10/25/2017,57,54,29,22,18,8,3
10/21/2017,14,45,69,41,42,4,2
10/18/2017,69,54,49,30,66,8,2
10/14/2017,56,37,69,32,66,11,3
10/11/2017,1,69,19,3,13,23,2
10/07/2017,61,10,49,65,63,7,2
10/04/2017,23,63,62,66,22,24,2
09/30/2017,8,25,12,41,64,15,3
09/27/2017,21,25,10,23,8,22,3
09/23/2017,45,24,56,55,57,19,2
09/20/2017,68,48,67,39,53,26,3
09/16/2017,31,24,25,17,18,24,2
09/13/2017,24,63,35,57,17,19,3
09/09/2017,59,20,6,57,29,22,2
09/06/2017,32,14,8,58,67,17,3
09/02/2017,62,41,21,52,6,26,2
08/30/2017,43,19,69,28,67,7,2
08/26/2017,66,15,7,38,32,15,2
08/23/2017,7,26,16,23,6,4,4
08/19/2017,17,68,19,43,39,13,4
08/16/2017,64,43,60,9,15,4,3
08/12/2017,35,20,49,26,24,19,2
08/09/2017,12,30,47,62,36,9,4
08/05/2017,33,21,45,11,28,11,2
08/02/2017,16,1,54,63,69,18,3
07/29/2017,1,40,28,48,45,12,2
07/26/2017,19,42,21,7,69,12,2
07/22/2017,44,32,60,5,53,9,3
07/19/2017,63,51,59,61,50,4,5
07/15/2017,40,66,9,64,63,17,2
07/12/2017,18,23,2,61,1,9,2
07/08/2017,29,8,40,59,10,26,2
07/05/2017,54,9,68,4,16,21,2
07/01/2017,45,19,42,53,48,16,3
06/28/2017,46,37,29,53,68,8,2
06/24/2017,36,32,22,58,10,10,4
06/21/2017,65,14,46,68,61,13,2
06/17/2017,13,62,10,53,32,21,2
06/14/2017,63,22,5,43,57,24,2
06/10/2017,32,26,20,38,58,3,2
06/07/2017,66,57,5,69,21,13,3
06/03/2017,54,41,9,3,21,25,4
05/31/2017,60,39,33,4,46,6,2
05/27/2017,55,10,5,67,28,9,3
05/24/2017,38,28,33,32,62,15,2
05/20/2017,45,5,47,54,22,3,2
05/17/2017,39,4,48,45,11,9,3
05/13/2017,68,17,20,63,32,19,5
05/10/2017,62,31,56,46,29,8,2
05/06/2017,31,21,11,41,59,21,3
05/03/2017,18,49,66,17,59,9,2
04/29/2017,24,22,23,62,45,5,2
